Material,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
Rough concrete,0.02,0.03,0.03,0.03,0.04,0.07
Smooth unpainted concrete,0.01,0.01,0.02,0.02,0.02,0.05
"Smooth concrete, painted or glazed",0.01,0.01,0.01,0.02,0.02,0.02
Porous concrete blocks (no surface finish),0.05,0.05,0.05,0.08,0.14,0.2
Clinker concrete (no surface finish),0.1,0.2,0.4,0.6,0.5,0.6
Smooth brickwork with flush pointing,0.02,0.03,0.03,0.04,0.05,0.07
"Smooth brickwork with flush pointing, painted",0.01,0.01,0.02,0.02,0.02,0.02
Standard brickwork,0.05,0.04,0.02,0.04,0.05,0.05
"Brickwork, 10mm flush pointing",0.08,0.09,0.12,0.16,0.22,0.24
Lime cement plaster on masonry wall,0.02,0.02,0.03,0.04,0.05,0.05
Glaze plaster on masonry wall,0.01,0.01,0.01,0.02,0.02,0.02
Painted plaster surface on masonry wall,0.02,0.02,0.02,0.02,0.02,0.02
Plaster on masonry wall with wall paper on backing paper,0.02,0.03,0.04,0.05,0.07,0.08
Ceramic tiles with smooth surface,0.01,0.01,0.01,0.02,0.02,0.02
Breeze block,0.2,0.45,0.6,0.4,0.45,0.4
Plaster on solid wall,0.04,0.05,0.06,0.08,0.04,0.06
"Plaster, lime or gypsum on solid backing",0.03,0.03,0.02,0.03,0.04,0.05
"Plasterboard on battens, 18mm airspace with glass wool",0.3,0.2,0.15,0.05,0.05,0.05
"Plasterboard on frame, 100mm airspace",0.3,0.12,0.08,0.06,0.06,0.05
"Plasterboard on frame, 100mm airspace with glass wool",0.08,0.11,0.05,0.03,0.02,0.03
Plasterboard on 50mm battens,0.29,0.1,0.05,0.04,0.07,0.09
Plasterboard on 25mm battens,0.31,0.33,0.14,0.1,0.1,0.12
"2 x plasterboard on frame, 50mm airspace with mineral wool",0.15,0.1,0.06,0.04,0.04,0.05
Plasterboard on cellular core partition,0.15,0,0.07,0,0.04,0.05
Plasterboard on frame 100mm cavity,0.08,0.11,0.05,0.03,0.02,0.03
"Plasterboard on frame, 100mm cavity with mineral wool",0.3,0.12,0.08,0.06,0.06,0.05
"2 x 13mm plasterboard on steel frame, 50mm mineral wool in cavity, surface painted",0.15,0.01,0.06,0.04,0.04,0.05
4mm glass,0.3,0.2,0.1,0.07,0.05,0.02
6mm glass,0.1,0.06,0.04,0.03,0.02,0.02
"Double glazing, 2-3mm glass, 10mm air gap",0.15,0.05,0.03,0.03,0.02,0.02
"3-4mm plywood, 75mm cavity containing mineral wool",0.5,0.3,0.1,0.05,0.05,0.05
"5mm plywood on battens, 50mm airspace filled",0.4,0.35,0.2,0.15,0.05,0.05
12mm plywood over 50mm airgap,0.25,0.05,0.04,0.03,0.03,0.02
12mm plywood over 150mm airgap,0.28,0.08,0.07,0.07,0.09,0.09
12mm plywood over 200mm airgap containing 50mm mineral wool,0.14,0.1,0.1,0.08,0.1,0.08
12mm plywood in framework with 30mm airspace behind,0.35,0.2,0.15,0.1,0.05,0.05
12mm plywood in framework with 30mm airspace containing glass wool,0.4,0.2,0.15,0.1,0.1,0.05
"Plywood, hardwood panels over 25mm airspace on solid backing",0.3,0.2,0.15,0.1,0.1,0.05
"Plywood, hardwood panels over 25mm airspace on solid backing with absorbent material in air space",0.4,0.25,0.15,0.1,0.1,0.05
12mm wood panelling on 25mm battens,0.31,0.33,0.14,0.1,0.1,0.12
"Timber boards, 100mm wide, 10mm gaps, 500mm airspace with mineral wool",0.05,0.25,0.6,0.15,0.05,0.1
"t & g board on frame, 50mm airspace with mineral wool",0.25,0.15,0.1,0.09,0.08,0.07
16-22mm t&g wood on 50mm cavity filled with mineral wool,0.25,0.15,0.1,0.09,0.08,0.07
"Cedar, slotted and profiled on battens mineral wool in airspace",0.2,0.62,0.98,0.62,0.21,0.15
Wood boards on on joists or battens,0.15,0.2,0.1,0.1,0.1,0.1
20mm dense veneered chipboard over 100mm airgap,0.03,0.05,0.04,0.03,0.03,0.02
20mm dense veneered chipboard over 200mm airgap,0.06,0.1,0.08,0.09,0.07,0.04
20mm dense veneered chipboard over 250mm airgap containing 50mm mineral wool,0.12,0.1,0.08,0.07,0.1,0.08
"6mm wood fibre board, cavity > 100mm, empty",0.3,0.2,0.2,0.1,0.05,0.05
"22mm chipboard, 50mm cavity filled with mineral wool",0.12,0.04,0.06,0.05,0.05,0.05
Acoustic timber wall panelling,0.18,0.34,0.42,0.59,0.83,0.68
"Hardwood, mahogany",0.19,0.23,0.25,0.3,0.37,0.42
Chipboard on 16mm battens,0.2,0.25,0.2,0.2,0.15,0.2
"Chipboard on frame, 50mm airspace with mineral wool",0.12,0.04,0.06,0.05,0.05,0.05
Melamine based foam 25mm,0.09,0.22,0.54,0.76,0.88,0.93
Melamine based foam 50mm,0.18,0.56,0.96,1,1,1
Glass wool 25mm 16 kg/m3,0.12,0.28,0.55,0.71,0.74,0.83
"Glass wool 50mm, 16 kg/m3",0.17,0.45,0.8,0.89,0.97,0.94
"Glass wool 75mm, 16 kg/m3",0.3,0.69,0.94,1,1,1
"Glass wool 100mm, 16 kg/m3",0.43,0.86,1,1,1,1
"Glass wool 25mm, 24 kg/m3",0.11,0.32,0.56,0.77,0.89,0.91
"Glass wool 50mm, 24 kg/m3",0.27,0.54,0.94,1,0.96,0.96
"Glass wool 75mm, 24 kg/m3",0.28,0.79,1,1,1,1
"Glass wool 100mm, 24 kg/m3",0.46,1,1,1,1,1
"Glass wool 50mm, 33 kg/m3",0.2,0.55,1,1,1,1
"Glass wool 75mm, 33 kg/m3",0.37,0.85,1,1,1,1
"Glass wool 100mm, 33 kg/m3",0.53,0.92,1,1,1,1
"Glass wool 50mm, 48 kg/m3",0.3,0.8,1,1,1,1
"Glass wool 75mm, 48 kg/m3",0.43,0.97,1,1,1,1
"Glass wool 100mm, 48 kg/m3",0.65,1,1,1,1,1
"Rock wool 50mm, 33 kg/m3 direct to masonry",0.15,0.6,0.9,0.9,0.9,0.85
"Rock wool 100mm, 33 kg/m3 direct to masonry",0.35,0.95,0.98,0.92,0.9,0.85
"Rock wool 50mm, 60 kg/m3 direct to masonry",0.11,0.6,0.96,0.94,0.92,0.82
"Rock wool 75mm, 60 kg/m3 direct to masonry",0.34,0.95,0.98,0.82,0.87,0.86
"Rock wool 30mm, 100 kg/m3 direct to masonry",0.1,0.4,0.8,0.9,0.9,0.9
"Rock wool 30mm, 200 kg/m3 over 300mm air gap",0.4,0.75,0.9,0.8,0.9,0.85
Glass wool or mineral wool on solid backing 25mm,0.2,0,0.7,0,0.9,0.8
Glass wool or mineral wool on solid backing 50mm,0.3,0,0.8,0,0.95,0.9
Glass wool or mineral wool over air space on solid backing 25mm,0.4,0,0.8,0,0.9,0.8
Fibreglass super fine mat 50mm,0.15,0.4,0.75,0.85,0.8,0.85
Fibreglass scrim-covered sewn sheet 40mm,0.4,0.8,0.95,0.95,0.8,0.85
Fibreglass bitumen bonded mat 25mm,0.1,0.35,0.5,0.55,0.7,0.7
Fibreglass bitumen bonded mat 50mm,0.3,0.55,0.8,0.85,0.75,0.8
Fibreglass resin-bonded mat 25mm,0.1,0.35,0.55,0.65,0.75,0.8
Fibreglass resin-bonded mat 50mm,0.2,0.5,0.7,0.8,0.75,0.8
Fibreglass resin-bonded board 25mm,0.1,0.25,0.55,0.7,0.8,0.85
Flexible polyurethane foam 50mm,0.25,0.5,0.85,0.95,0.9,0.9
Rigid polyurethane foam 50mm,0.2,0.4,0.65,0.55,0.7,0.7
12mm expanded polystyrene on 45mm battens,0.05,0.15,0.4,0.35,0.2,0.2
25mm expanded polystyrene on 50mm battens,0.1,0.25,0.55,0.2,0.1,0.15
Cork tiles 25mm on solid backing,0.05,0.1,0.2,0.55,0.6,0.55
"Cork board, 25mm on solid backing",0.03,0.05,0.17,0.52,0.5,0.52
"Cork board, 25mm, 2.9kg/m2, on battens",0.15,0.4,0.65,0.35,0.35,0.3
Glass blocks or glazed tiles as wall finish,0.01,0,0.01,0,0.01,0.01
Muslin covered cotton feltm 25mm,0.15,0.45,0.7,0.85,0.95,0.85
Pin up boarding- medium hardboard on solid backing,0.05,0,0.1,0,0.1,0.1
Fibreboard on solid backing 12mm,0.05,0.1,0.15,0.25,0.3,0.3
"25mm thick hair felt, covered by scrim cloth on solid backing",0.1,0,0.7,0,0.8,0.8
Fibreboard on solid backing soft 12mm,0.05,0,0.15,0,0.3,0.3
Fibreboard on solid backing - painted,0.05,0,0.1,0,0.15,0.15
Fibreboard over airspace on solid wall 12mm,0.3,0,0.3,0,0.3,0.3
Fibreboard over airspace on solid wall - painted,0.3,0,0.15,0,0.1,0.1
"Plaster on lath, deep air space",0.2,0.15,0.1,0.05,0.05,0.05
"Plaster decorative panels, walls",0.2,0.15,0.1,0.08,0.04,0.02
Acoustic plaster to solid backing 25mm,0.03,0.15,0.5,0.8,0.85,0.8
9mm acoustic plaster to solid backing,0.02,0.08,0.3,0.6,0.8,0.9
"9mm acoustic plaster on plasterboard, 75mm airspace",0.3,0.3,0.6,0.8,0.75,0.75
12.5mm acoustic plaster on plaster backing over 75mm air space,0.35,0.35,0.4,0.55,0.7,0.7
"Woodwool slabs, unplastered on solid backing 25mm",0.1,0,0.4,0,0.6,0.6
"Woodwool slabs, unplastered on solid backing 50mm",0.1,0.2,0.45,0.8,0.6,0.75
"Woodwool slabs, unplastered on solid backing 75mm",0.2,0,0.8,0,0.8,0.8
"Woodwool slabs, unplastered over 20mm airspace on solid backing",0.15,0,0.6,0,0.6,0.7
Plasterboard backed with 25mm thick bitumen-bonded fibreglass on 50mm battens 10mm,0.3,0.2,0.15,0.05,0.05,0.05
Curtains hung in folds against soild wall,0.05,0.15,0.35,0.4,0.5,0.5
"Cotton Curtains (0.5kg/m2),draped to 75% area approx. 130mm from wall",0.3,0.45,0.65,0.56,0.59,0.71
Lightweight curtains (0.2 kg/m2) hung 90mm from wall,0.05,0.06,0.39,0.63,0.7,0.73
Curtains of close-woven glass mat hung 50mm from wall,0.03,0.03,0.15,0.4,0.5,0.5
"Curtains, medium velour, 50% gather, over soild backing",0.05,0.25,0.4,0.5,0.6,0.5
Curtains (medium fabrics) hung straight and close to wall,0.05,0,0.25,0,0.3,0.4
Curtains in folds against wall,0.05,0.15,0.35,0.4,0.5,0.5
Curtains ( medium fabrics ) double widths in folds spaced away from wall,0.1,0,0.4,0,0.5,0.6
"Acoustic banner, 0.5 kg/m2 wool serge, 100mm from wall",0.11,0.4,0.7,0.74,0.88,0.89
Smooth marble or terrazzo slabs,0.01,0.01,0.01,0.01,0.02,0.02
"Raised computer floor, steel-faced 45mm chipboard 800mm above concrete floor, no carpet",0.08,0.07,0.06,0.07,0.08,0.08
"Raised computer floor, steel-faced 45mm chipboard 800mm above concrete floor, office-grade carpet tiles",0.27,0.26,0.52,0.43,0.51,0.58
Wooden floor on joists,0.15,0.11,0.1,0.07,0.06,0.07
"Parquet fixed in asphalt, on concrete",0.04,0.04,0.07,0.06,0.06,0.07
Parquet on counterfloor,0.2,0.15,0.1,0.1,0.05,0.1
Linoleum or vinyl stuck to concrete,0.02,0.02,0.03,0.04,0.04,0.05
"Layer of rubber, cork, linoleum + underlay, or vinyl+underlay stuck to concrete",0.02,0.02,0.04,0.05,0.05,0.1
5mm needle-felt stuck to concrete,0.01,0.02,0.05,0.15,0.3,0.4
6mm pile carpet bonded to closed-cell foam underlay,0.03,0.09,0.25,0.31,0.33,0.44
6mm pile carpet bonded to open-cell foam underlay,0.03,0.09,0.2,0.54,0.7,0.72
"9mm pile carpet, tufted on felt underlay",0.08,0.08,0.3,0.6,0.75,0.8
Composition flooring,0.05,0.05,0.05,0.05,0.05,0.05
Haircord carpet on felt underlay 6mm,0.05,0.05,0.1,0.2,0.45,0.65
Medium pile carpet on sponge rubber underlay 10mm,0.5,0.1,0.3,0.5,0.65,0.7
Thick pile carpet on sponge rubber underlay 15mm,0.15,0.25,0.5,0.6,0.7,0.7
Rubber floor tiles 6mm,0.05,0.05,0.1,0.1,0.05,0.05
"Carpet, thin, over thin felt on concrete",0.1,0.15,0.25,0.3,0.3,0.3
"Carpet, thin, over thin felt on wood floor",0.2,0.25,0.3,0.3,0.3,0.3
"Carpet, needlepunch 5mm",0.03,0.05,0.05,0.25,0.35,0.5
"Stone floor, plain or tooled or granolithic finish",0.02,0,0.02,0,0.05,0.05
Corkfloor tiles 14mm,0,0.05,0.15,0.25,0.25,0
Sheet rubber ( hard ) 6mm,0,0.05,0.05,0.1,0.05,0
Woodblock/linoleum/rubber/cork tiles (thin) on solid floor (or wall),0.02,0.04,0.05,0.05,0.1,0.05
"Floor tiles, plastic or linoleum",0.03,0,0.03,0,0.05,0.05
Steel decking,0.13,0.09,0.08,0.09,0.11,0.11
Wood hollowcore door,0.3,0.25,0.15,0.1,0.1,0.07
Solid timber door,0.14,0.1,0.06,0.08,0.1,0.1
"Acoustic door, steel frame, double seals, absorbant in airspace, Double sheet steel skin.",0.35,0.39,0.44,0.49,0.54,0.57
"Mineral wool tiles, 180mm airspace",0.42,0.72,0.83,0.88,0.89,0.8
"Mineral wool tiles, glued/screwed to soffit",0.06,0.4,0.75,0.95,0.96,0.83
"Gypsum plaster tiles, 17% perforated, 22mm",0.45,0.7,0.8,0.8,0.65,0.45
"Metal ceiling, 32.5% perforated, backed by 30mm rockwool",0.12,0.45,0.87,0.98,1,1
"Perforated underside of structural steel decking (typical, depends on perforations)",0.3,0.7,0.85,0.9,0.7,0.65
"12% perforated plaster tiles, absorbent felt glued to back, 200mm ceiling void",0.45,0.7,0.88,0.52,0.42,0.35
"100mm woodwool slabs on 25mm cavity, pre-screeded surface facing cavity",0.5,0.75,0.85,0.65,0.7,0.7
"50mm woodwool slabs on 25mm cavity, pre-screeded surface facing cavity",0.3,0.4,0.5,0.85,0.5,0.65
"100mm woodwool fixed directly to concrete, pre-screeded surface facing backing",0.25,0.8,0.85,0.65,0.7,0.75
"75mm woodwool fixed directly to concrete, pre-screeded surface facing backing",0.15,0.4,0.95,0.6,0.7,0.6
Plasterboard 10mm thick backed with 25mm thick bitumen,0.3,0.2,0.15,0.05,0.05,0.05
"Plasterboard 10mm thick, perforated 8mm diameter holes 2755m2 14% open area backed with 25mm thick bitumen- bonded fibreglass on 90mm battens",0.25,0.7,0.85,0.55,0.4,0.3
"Plywood, 5mm, on battens 50mm airspace filled with glass wool",0.4,0.35,0.2,0.15,0.05,0.05
"Plywood, 12mm, with 30mm thick fibreglass backing between 30mm battens",0.4,0.2,0.15,0.1,0.1,0.05
Plywood 12mm thick perforated 5mm diameter holes 6200 m2 11% open area with 60mm deep air space behind,0.2,0.35,0.55,0.3,0.25,0.3
Plywood 12mm thick perforated 5mm diameter holes 6200 m2 11% open area backed with 60mm thick fibreglass between mounting battens,0.4,0.9,0.8,0.5,0.4,0.3
"Hardboard, 25% perforated over 50mm mineral wool",0.27,0.87,1,1,0.98,0.96
"0.8mm unperforated metal panels backed with 25mm thick resin bonded fibreglass, mounted on 22mm diameter pipes 135mm from wall.",0.5,0.35,0.15,0.05,0.05,0
0.8mm perforated metal tiles 2mm diameter holes 29440/m2. 13% open area backed with 25mm thick resin-bonded fibreglass slab. No airspace.,0.1,0.3,0.6,0.75,0.8,0.8
50mm mineral wool ( 96 kg/m3 ) behind 25% open area perforated steel.,0.2,0.35,0.65,0.85,0.9,0.8
"Wood panels, 18mm alternate 15mm slot & 35mm wooden slat",0.1,0.36,0.74,0.91,0.61,0.5
"25mm rockwool backing, 32mm airspace behind Plaster decorative panels, ceilings",0.2,0.22,0.18,0.15,0.15,0.16
"Children, standing (per child) in m2 units",0.12,0.22,0.37,0.4,0.42,0.37
"Children, seated in plastic or metal chairs (per child) in m2 units",0.28,0,0.33,0,0.37,0.37
Students seated in tablet arm chairs,0.3,0.41,0.49,0.84,0.87,0.84
Adults per person seated,0.33,0.4,0.44,0.45,0.45,0.45
Adults per person standing,0.15,0.38,0.42,0.43,0.45,0.45
Empty plastic or metal chairs (per chair) in m2 units,0.07,0,0.14,0,0.14,0.14
"Seats, leather covers, per m2",0.4,0.5,0.58,0.61,0.58,0.5
"Cloth-upholstered seats, per m2",0.44,0.6,0.77,0.89,0.82,0.7
"Floor and cloth-upholstered seats, per m2",0.49,0.66,0.8,0.88,0.82,0.7
Adults in plastic and metal chairs in m2 units,0.3,0,0.4,0,0.43,0.4
Adults in wooden or padded chairs or seats (per item) in m2,0.16,0,0.4,0,0.44,0.4
"Adults on timber seats, 1 per m2 per item",0.16,0.24,0.56,0.69,0.81,0.78
"Adults on timber seats, 2 per m2 per item",0.24,0.4,0.78,0.98,0.96,0.87
Wooden or padded chairs or seats (per item) in m2,0.08,0,0.15,0,0.18,0.2
"Seating, slighty upholstered, unoccupied",0.07,0.12,0.26,0.42,0.5,0.55
"Seating, slighty upholstered, occupied",0.32,0.62,0.74,0.76,0.81,0.9
Fully upholstered seats (per item) in m2,0.12,0,0.28,0,0.32,0.37
"Upholstered tip-up theatre seats, empty",0.33,0.51,0.64,0.71,0.77,0.81
"Areas with audience, orchestra, or seats, including narrow aisles",0.6,0.74,0.88,0.96,0.93,0.85
"Auditorium seat, unoccupied",0.13,0.33,0.59,0.58,0.61,0.62
"Auditorium seat, occupied",0.37,0.48,0.68,0.73,0.77,0.74
"Orchestra with instruments on podium, 1.5 m2 per person",0.27,0.53,0.67,0.93,0.87,0.8
Orchestral player with instrument (average) per person,0.37,0.8,1,1,1,1
Prosenium opening with average stage set per m2 of opening,0.2,0,0.3,0,0.4,0.5
Wood platform with large space beneath,0.4,0.3,0.2,0.17,0.15,0.1
Adult office furniture per desk,0.5,0.4,0.45,0.45,0.6,0.7
"Water surface, ie swimming pool",0.01,0.01,0.01,0.01,0.02,0.02
Ventilation grille per m2,0.6,0.6,0.6,0.6,0.6,0.6
Carpet,0.01,0.02,0.06,0.15,0.25,0.45
"Concrete (unpainted, rough finish)",0.01,0.02,0.04,0.06,0.08,0.1
Concrete (sealed or painted),0.01,0.01,0.02,0.02,0.02,0.02
Marble or glazed tile,0.01,0.01,0.01,0.01,0.02,0.02
Vinyl tile or linoleum on concrete,0.02,0.03,0.03,0.03,0.03,0.02
Wood parquet on concrete,0.04,0.04,0.07,0.06,0.06,0.07
Wood flooring on joists,0.15,0.11,0.1,0.07,0.06,0.07
"Benches (wooden, empty)",0.1,0.09,0.08,0.08,0.08,0.08
"Benches (wooden, 2/3 occupied)",0.37,0.4,0.47,0.53,0.56,0.53
"Benches (wooden, fully occupied)",0.5,0.56,0.66,0.76,0.8,0.76
"Benches (cushioned seats and backs, empty)",0.32,0.4,0.42,0.44,0.43,0.48
"Benches (cushioned seats and backs, 2/3 occupied)",0.44,0.56,0.65,0.72,0.72,0.67
"Benches (cushioned seats and backs, fully occupied)",0.5,0.64,0.76,0.86,0.86,0.76
"Theater seats (wood, empty)",0.03,0.04,0.05,0.07,0.08,0.08
"Theater seats (wood, 2/3 occupied)",0.34,0.21,0.28,0.53,0.56,0.53
"Theater seats (wood, fully occupied)",0.5,0.3,0.4,0.76,0.8,0.76
"Seats (fabric-upholsterd, empty)",0.49,0.66,0.8,0.88,0.82,0.7
"Seats (fabric-upholsterd, fully occupied)",0.6,0.74,0.88,0.96,0.93,0.85
Brick (natural),0.03,0.03,0.03,0.04,0.05,0.07
Brick (painted),0.01,0.01,0.02,0.02,0.02,0.03
Concrete block (coarse),0.36,0.44,0.31,0.29,0.39,0.25
Concrete block (painted),0.1,0.05,0.06,0.07,0.09,0.08
"Concrete (poured, rough finish, unpainted)",0.01,0.02,0.04,0.06,0.08,0.1
Doors (solid wood panels),0.1,0.07,0.05,0.04,0.04,0.04
"Glass (1/4? plate, large pane)",0.18,0.06,0.04,0.03,0.02,0.02
